"ID	","分类	","标题	","作者	","内容	","附件	","创建时间	","最后更新	"
1011443,"支付产品：聚合支付（直联）-微信接口	","有微信服务号，由于交易期间违规操作导致腾讯已将其商户号封闭不能交易。是否可以申请接入？	","付钱拉客服-803	","不可以，需要认证的商户主体与后续申请微信支付权限的商户主体保持一致。
若一致的话那么之前的被封闭的微信支付账户，是无法做接入的。	",-,2017/11/14 18:10,2017/11/20 17:08
1011417,"支付产品：聚合支付（直联）-银联通道	","银联是否支付信用卡和储蓄卡以及包含国际卡	","付钱拉客服-803	","银联在线支付平台是本身是支持储蓄卡及信用卡支付的。
但我司目前支持境内支付接入，境外（国际卡）目前还是开发中。	",-,2017/11/13 19:36,2017/11/20 17:29
1011431,"支付产品：聚合支付（直联）-银联通道	","银联支付支持信用卡、储蓄卡以及国际卡/跨境	","付钱拉客服-803	","银联在线支付平台是本身是支持储蓄卡及信用卡支付的。但我司目前支持境内支付接入，境外（国际卡）目前还是开发中。	",-,2017/11/14 18:10,2017/11/20 17:10
1011432,"支付产品：聚合支付（直联）-银联通道	","申请接入银联支付条件/银联通道开通条件/银联开通/银联接入	","付钱拉客服-803	","1、您需要具有接入银联的互联网电子商务网站，或者手机端电子商务WAP页面或APP。?
2、入网申请材料您需提交营业执照、税务登记证、法人身份证复印件、ICP备案信息等材料的扫描件。?
3、您需要具备用于资金入账的对公账户。	",-,2017/11/14 18:10,2017/11/20 17:15
1011433,"支付产品：聚合支付（直联）-银联通道	","银联限额	","付钱拉客服-803	","您可先参考（https://static.95516.com/static/help/detail_38.html） 其中的“银联卡支付限额”。
同时，实际可支付金额因商户不同而有所不同：
银联规定航空售票、酒店商旅、教育收费类商户单笔和日累计限额均为10000元； 数码电子类单笔和日累计限额均为5000元；一般类商户单笔2000元，日累计5000元；虚拟商品（游戏点卡、充值等）类单笔500元，日累计2000 元；彩票类单笔和日累计均为500元。	",-,2017/11/14 18:10,2017/11/20 17:14
1011436,"支付产品：聚合支付（直联）-银联通道	","银联支付产品/银联产品	","付钱拉客服-803	","网关支付: 银联在线支付网关是中国银联联合各商业银行为持卡人提供的集成化、综合性互联网支付工具，主要支持输入卡号付款、用户登录支付、网银支付、迷你付（IC卡支付）等多种支付方式，为持卡人提供境内外网上购物、水电煤缴费、商旅预订等支付服务。?
手机控件支付: 银联手机控件支付是中国银联推出的手机支付产品，可以通过银行卡进行安全的、便捷的即时支付。用户在银联签约商户的手机客户端、手机网站进行付款时，安全支付控件可以保障用户银行卡信息的安全。?
Apple Pay：银联Apple Pay手机支付控件是中国银联推出的Apple Pay手机支付解决方案，商家可以通过在APP中嵌入银联SDK控件，安全、便捷的实现Apple Pay支付。?
银联支付产品有适应各类支付场景的产品，除了目前在线提交入网的三种产品，银联还提供实体商户POS收款业务、代收业务、代付业务、语言支付、银联钱包优惠券等众多产品，敬请您关注我们的网站。
如您需签约其他银联支付产品，可致电银联客服电话95516咨询。	",-,2017/11/14 18:10,2017/11/20 17:32
1011387,"支付产品：聚合支付（间联）	","聚合支付（间联）支持的第三方支付平台	","付钱拉客服-803	","微信
支付宝
京东钱包
百度钱包
快钱
易宝
银联网银
APPLE PAY	",-,2017/11/13 13:33,2017/11/16 15:37
1011388,"支付产品：聚合支付（间联）	","聚合支付（间联）开通的条件	","付钱拉客服-803	","有支付场景
PC网页有备案
?APP有截图
?公众号有服务号
?H5备案
?企业结算对公
?个体结算对公
个人也可以接入	",-,2017/11/13 13:33,2017/11/16 15:37
1011438,"支付产品：聚合支付（间联）	","H5场景，是否可以接入微信支付、支付宝？	","付钱拉客服-803	","微信：不可以。
目前H5微信方还在内测没有具体的开发完成时间，只有在公众号（基于微信内置浏览器内的支付）中使用。
支付宝：可以，支持手机WAP，PC，APP	",-,2017/11/14 18:10,2017/11/20 17:34
1011426,"增值服务	","付钱拉增值服务项/增值分类	","付钱拉客服-803	","代扣代付
快捷支付
网银 （B2B ）支付
网银 （B2C）支付
银管通
商易通
八方数据
分期支付
生活缴费
供应链金融
企业理财
现金罗盘
流量变现	",-,2017/11/14 11:38,2017/11/28 09:42
1003027,"增值服务-现金罗盘	","什么是现金罗盘/现金罗盘介绍	","付钱拉客服-801	","“现金罗盘”通过对接国内主流银行，为广大企业客户提供简便易用、功能完善、安全可靠的跨银行资金流动性管理平台，旨在帮助客户简化现金管理操作、降低资金成本、提高资金收益。
一个现金罗盘企业多个银行账户资金归集与支出管理，自动报表生成与企业资产增值服务。	",-,2017/4/11 16:11,2017/11/27 17:01
1003028,"增值服务-现金罗盘	","现金罗盘的适用范围/现金罗盘范围	","付钱拉客服-801	","现金罗盘“产品不限行业不限企业规模，入网企业主要结算业务为企业客户，而非个人客户
目标客户是但不仅限于中小微企业，而是所有企业用户。
由于每家企业都有现金管理层面的需求痛点，但是往往中小企业主无法将其理解到现金管理的高度，现金管理习惯急需养成。产品就是通过简单的操作为企业主养成这种习惯提供工具	",-,2017/4/11 16:12,2017/11/27 17:01
1003029,"增值服务-现金罗盘	","理财、归集资金等，是企业需求，但是大企业或上市公司有更好的其他渠道实现	","付钱拉客服-801	","现金罗盘产品本身的产品定位就是普惠型的现金管理类产品，从产品定价可以看出，产品目标是让更广大的中小微企业养成现金管理的习惯，真正从科技金融中受益。
大型企业或者上市企业自身的ERP系统本身可能已经应用由ERP厂商提供的现金管理模块，可以实现付款通道、资金归集或现金池业务，几十万的模块使用费对于高额的ERP系统收费来说微不足道；或者直接找银行开发接口对接ERP系统，但是银行能做到的服务很有限，比如在资金归集中只能汇集本行账户资金，跨行归集要通过超级网银，额度要受对方行限制，相比专业做财务软件的公司来说又不就够专业，更多增值服务实现、包括数据分析无从下手。现金罗盘产品对于绝大多数拥有ERP系统而没有开通现金管理模块及打通银行支付通道的大型企业来说也是一种选择，作为ERP的支付通道现金罗盘产品在价格上的优势凸现。
中小微企业选择现金罗盘产品的动力在于专业的现金管理产品和低廉的价格，更有在线投融资产品支持，还有全方位的增值服务。	",-,2017/4/11 16:14,2017/11/27 17:02
1003030,"增值服务-现金罗盘	","现金罗盘能够对企业有什么帮助	","付钱拉客服-801	","每个企业都可能面对银行账户分散、跨行管理多头账户；资金监控难，无法实时了解企业资金状况；资金缺乏调剂；资金结算成本高；资金闲置及缺口无法及时了解；不希望投入大量资金解决现金管理问题等等一系列问题，“现金罗盘”针对以上问题为客户提供解决方案，手机APP与WEB相结合，老板随时随地了解公司财务现状，快速把握商机。
“现金罗盘”产品的宣传语中体现的是：培养中小企业现金管理习惯，做人人都用的起的企业现金管理产品；将现金管理放进老板的口袋里。	",-,2017/4/11 16:14,2017/11/27 17:03
1003031,"增值服务-现金罗盘	","现金罗盘除了银行账户资金归集还能提供什么服务	","付钱拉客服-801	","现金罗盘除了实现企业资金、结算、信息的集中化管理，提升企业运营及资金使用效率及整体调控能力，还可以为企业开展多元化的企业融资、理财活动以及提供报销、代理、法律等企业服务。	",-,2017/4/11 16:15,2017/11/27 17:04
1003032,"增值服务-现金罗盘	","现金罗盘具体功能介绍/现金罗盘功能	","付钱拉客服-801	","现金罗盘平台功能介绍：
☆账户管理：通过手机软件您就可以实时掌握不同银行不同企业账户的信息，随意设置不同公司架构下的企业余额，余额流水想查就查。
☆付款服务：一台电脑搞定您所有企业银行账户的付款业务，通过信息化处理，我们深度封装了企业日常经办的银行业务，实时/定时、单笔/批量付款，员工代发工资、报销，资金池资金划转，以往每月会计都要忙疯的工作通过我们高科技手段一步解决。
☆资金归集：我们还有专业的资金池服务，把不同银行账户的资金归集到一个池子里来管理，提高资金使用效率、提升自己价值，资金就像池子里的水一样，相互联系、流动自由，资金池可是银行的传统高级业务，我们平台把这项业务深度优化，通过特别简单的操作实现复杂的资金流转。
☆理财服务：我们平台的企业理财业务针对企业客户量身打造，随存随取，收益还高，宜信大品牌理财10年无违约，买着安心！
☆平台服务：我们就是要做服务广大中小企业的现金管理产品平台，会陆续增加在线法律援助、代理记账、移动报销等众多企业实用的渠道功能，一站式解决您企业的管理需求。	",-,2017/4/11 16:16,2017/11/27 17:04
1003033,"增值服务-现金罗盘	","现金罗盘适用银行/有些银行不在适用范围	","付钱拉客服-801	","目前现金罗盘与中国银行、中国工商银行、中国建设银行、招商银行、中信银行、广发银行、浦发银行、平安银行以及民生银行，9家主流银行进行合作，通过对接主流银行直连系统，为广大企业客户提供简便易用、功能完善、安全可靠的跨银行账户管理及流动性管理平台。
其他银行我们这边也会根据客户使用情况和客户建议陆续与银行进行协商，目前如果您有其他业务不在现金罗盘的适用银行范围内，除了将自己企业资金流转至适用8家银行外还可以随时关注我们的主流银行覆盖范围。	",-,2017/4/11 16:16,2017/11/27 17:05
1003034,"增值服务-现金罗盘	","现金罗盘安全性	","付钱拉客服-801	","资金的安全性和保密性问题，这个问题请贵公司的领导不用担心，首先咱们企业的资金只会在自己的银行账户里，除了企业自己的资金管理同事能用，其他都用不了，并且我们还为每个可操作用户分发CFCA的U盾，安全性与银行一致。	",-,2017/4/11 16:16,2017/11/27 17:06
1003035,"增值服务-现金罗盘	","现金罗盘费用/现金罗盘收费/现金罗盘费率	","付钱拉客服-801	","您好，“现金罗盘”服务是收费的，但是相对于目前各银行提供的现金管理服务费用是非常低的，首先“现金罗盘”服务不受区域影响，不分同一区域与跨区域收费，其次操作非常既简单不需要专业人员管理，公司财务人员、老板可以迅速上手使用，而且“现金罗盘”不需要其他硬件安装。
我们是按照银行账户规模、银行现金管理系统收费（同区域和跨区域）来进行划分，具体根据反馈贵司情况后给您进行报价。	",-,2017/4/11 16:23,2017/11/27 17:06
1003038,"增值服务-现金罗盘	","现金罗盘理财产品	","付钱拉客服-801	","目前，我们为现金罗盘客户提供适用于资金随用随取的高流动性企业理财产品，和（1、3、6、12个月）固定期限理财产品，具体可以留下您的联系方式，我们安排所属负责人与您沟通。	",-,2017/4/11 16:33,2017/11/27 17:08
1011598,"增值服务-银管通	","银管通产品介绍/资金存管介绍/银管通介绍	","付钱拉客服-803	","为互联网网贷平台（P2P）提供银行资金存管服务	",-,2017/11/27 17:26,2017/11/27 17:26
1011599,"增值服务-银管通	","银行存管条件/银管通条件/银管通接入对象/资金存管接入?/资金存管要求	","付钱拉客服-803	","要求：互联网网贷平台（P2P）－经营范围网贷信息中介服务、注册资金1000万，线上平台，无负面新闻。	",-,2017/11/27 17:28,2017/11/27 17:28
1011600,"增值服务-银管通	","银管通如何存管/银管通存管模式	","付钱拉客服-803	","银管通产品是直接提供给P2P平台使用的对接众邦银行的存管系统 ? ? ?
网贷平台通过银管通快速接入银行存管的同时，P2P平台还可以自由选择是否使用众邦银行提供的聚合支付服务	",-,2017/11/27 17:30,2017/11/27 17:30
1011601,"增值服务-银管通	","银管通对接周期/银管通接入周期/资金存管周期	","付钱拉客服-803	","按照标准情况需要30至45天左右。	",-,2017/11/27 17:32,2017/11/27 17:32
1011602,"增值服务-银管通	","银管通收费/银管通费用/银管通费率/资金存管费用/资金存管服务费	","付钱拉客服-803	","服务费用需要与客户经理洽谈	",-,2017/11/27 17:34,2017/11/27 17:34
1393,"增值服务-代付代扣	","商户需要代收代付服务	","付钱拉客服-801	","可以提供，请留下您的联系方式便于我们负责人与您线下进行沟通。	",-,2016/9/21 19:28,2017/11/27 17:09
1011595,"增值服务-分期支付	","分期支付介绍	","付钱拉客服-803	","付钱拉为商户提供多种场景下的分期服务，使商户具备提供分期付款、 “白条”类产品的消费金融运营能力。
先消费后付款的全新消费模式，可消除用户的购买门槛，让信用提升用户生活品质。	",-,2017/11/27 17:19,2017/11/27 17:19
1011596,"增值服务-分期支付	","分期支付支持期限/分期支付周期/分期支付账单	","付钱拉客服-803	","支持1/3/6/9/12分期，为用户提供操作简单、费用低廉的分期服务，让信用提升用户生活品质。	",-,2017/11/27 17:20,2017/11/27 17:20
1011597,"增值服务-分期支付	","分期支付条件/分期支付开通条件/分期支付准入	","付钱拉客服-803	","1、商户的准入条件：月交易额5000万以上
2、城市-1-2线城市
不能是线下3C类商户	",-,2017/11/27 17:22,2017/11/27 17:22
1011603,"增值服务-八方数据	","八方数据介绍/八方数据产品介绍	","付钱拉客服-803	","八方数据是一个依托互联网渠道，通过大数据技术抓取，获取专业机构数据的信息技术平台。
为企业输出全套数据征信，校验信息真伪，降低风险，提高效率的整体解决方案。适用于有数据需求的所有行业。	",-,2017/11/27 18:01,2017/11/27 18:01
1011755,"增值服务-八方数据	","八方数据优势	","付钱拉客服-803	","安全性：CFCA安全认证，确认用户信息安全保密。


稳定性：互联网高尖端技术团队，高强度系统压力测试，数据灾备方案，多方面确保系统在任何情况下，24小时不停机，正常运行。


灵活性：企业可以按需选择数据服务，随意组合，可以一个，两个，多个。通过商户后台，跟据需求配置。


多维数据：八方数据包括个人和企业的各维度数据，包括信用情况，收入情况，社会化信息，贷款情况等。


定制化：跟据企业需求，为企业提供专属数据服务。	",-,2017/11/30 16:24,2017/11/30 16:24
1011756,"增值服务-八方数据	","八方数据应用企业类型	","付钱拉客服-803	","金融型企业：实现互联网化快速、便捷数据获取。极大缩短信用审核时间，优化信审流程，降低掉单风险。增加非金融机构征信维度，降低信用风险。
数据型企业：增加大数据机构数据分析维度，大数据分析更完整。
其他业务型企业：数据类产品轻松开展业务，记账产品一站式接入，需征信产品打包集合接入。	",-,2017/11/30 16:25,2017/11/30 16:25
1011757,"增值服务-供应链金融	","供应链金融简介/供应链金融介绍	","付钱拉客服-803	","供应链金融是付钱拉联合知名金融机构为中小微企业提供的供应链融资服务平台，通过对融资企业相关数据分析，对企业信用状况和资金缺口情况进行测算，企业可以通过线上平台完成企业融资办理。


供应链金融通过进行快速、透明的审批流程、灵活贷款期限设置，为企业快速补充企业运营资金、降低企业融资成本提供便利。	",-,2017/11/30 16:26,2017/11/30 16:27
1011758,"增值服务-供应链金融	","供应链金融优势	","付钱拉客服-803	","适用行业广泛：物流、电商、医药、建筑等行业
融资方式多样：订单融资、应收款融资、货物融资等
流程简单：授信完成，一键申请，当天放款
风险可控，融资成本低：资金信息透明，风险可控，融资成本低	",-,2017/11/30 16:26,2017/11/30 16:26
